,workorderid,wonum,location,description,comune,localita,via,civico,comune_loc,materiale,diametro,l_intervento,status,reportdate,anno,x,y,serv_cost,geometry
0,434549,15ODL105517,38A05A01,Perdita acqua dalla rete montedivalli podenzana,PODENZANA,PODENZANA,Genova 0,0,PODENZANA,PEAD,110.0,0.0,CLOSE,iso,2015,568620.414,4893904.8382,286.57,POINT (568620.414 4893904.8382)
1,449895,15ODL121318,45A07A04,perdita su adduttrice serbatoio giovagallo eseguita il 01/ 06 2015,TRESANA,TRESANA,VIA BOLA 1,1,TRESANA,FERRO,90.0,0.0,CLOSE,iso,2015,569967.685,4898467.3278,220.99,POINT (569967.685 4898467.3278)
3,526117,15ODL198239,39A01A18,rotture idriche addutrice serbatoio di s. marco,pontremoli,BASSONE,bassone,00,PONTREMOLI,ACCIAIO,125.0,0.0,CLOSE,iso,2015,567494.3848,4914638.3966,645.88,POINT (567494.3848 4914638.3966)
9,815762,16ODL315760,39A01A04,PERDITA STRADALE,pontremoli,DOZZANO,dozzano,,PONTREMOLI,PEAD,110.0,0.0,CLOSE,iso,2016,568821.4487,4912968.2887,539.55,POINT (568821.4487 4912968.2887)
44,2621776,21ODL308113,39A01A08,Mancata fornitura idrica- PERDITA ACQUA DALLA RETE,PONTREMOLI,LOCALITA' COSTA S. NICOLO' 23,LOCALITA' COSTA S. NICOLO' 23,,PONTREMOLI,FERRO,90.0,0.0,CLOSE,iso,2021,567243.1819,4915041.6749,1057.92,POINT (567243.1819 4915041.6749)
48,449907,15ODL121331,18A01A07,Mancata fornitura idrica,FILATTIERA,FILATTIERA,GIGLIANA 1,,FILATTIERA,ACCIAIO,90.0,0.0,CLOSE,iso,2015,575555.9762,4911678.1218,259.25,POINT (575555.9762 4911678.1218)
51,491740,15ODL163425,02A01A02,perdita rete di adduzione serb briccola in loc aulla c/o ponte strada statale,aulla,AULLA,nazionale,snc,AULLA,FERRO,272.0,0.0,CLOSE,iso,2015,577508.6532,4895238.0838,353.19,POINT (577508.6532 4895238.0838)
52,504663,15ODL175920,02A05A03,Perdita acqua dalla rete caprigliola,AULLA,CAPRIGLIOLA,VIA VECCHIA 0,0,AULLA,FERRO,114.0,0.0,CLOSE,iso,2015,574628.5375,4891612.6858,234.59,POINT (574628.5375 4891612.6858)
54,513952,15ODL185745,02A05A03,perdita rete idrica in loc caprigliola su adduttrice serbatoio,AULLA,CAPRIGLIOLA,VIA CHIESUOLA 1,1,AULLA,FERRO,114.0,0.0,CLOSE,iso,2015,574651.7831,4891654.6121,234.59,POINT (574651.7831 4891654.6121)
55,522441,15ODL194517,02A05A03,perdita rete idrica in loc caprigliola eseguita il 27 08 2015,aulla,CAPRIGLIOLA,del monte,snc,AULLA,FERRO,110.0,0.0,CLOSE,iso,2015,574682.9597,4891649.0724,1114.57,POINT (574682.9597 4891649.0724)
59,562715,15ODL236418,02A05A03,perdita su condotta adduttrice serbatoio caprigliola in loc albiano c/o pozzi,aulla,ALBIANO,molinetti,snc,AULLA,PEAD,110.0,0.0,CLOSE,iso,2015,573258.2066,4891272.8709,240.92,POINT (573258.2066 4891272.8709)
60,570659,15ODL244591,38A01A03,perdita su adduttrice saletto ripetitore in loc maestà del monte podenzana,podenzana,MAESTÀ DEL MONTE,mestà,snc,PODENZANA,FERRO,110.0,0.0,CLOSE,iso,2015,575582.4153,4895677.0199,208.27,POINT (575582.4153 4895677.0199)
61,584588,15ODL259222,18A01A07,PERDITA STRADALE,filattiera,ULIVETO,uliveto,\,FILATTIERA,ACCIAIO,90.0,0.0,CLOSE,iso,2015,575367.8822,4911473.4994,227.38,POINT (575367.8822 4911473.4994)
74,800219,16ODL299842,38A01A03,perdita rete idrica in loc maestà del monte,podenzana,MAESTÀ DEL MONTE,maestà,snc,PODENZANA,FERRO,110.0,0.0,CLOSE,iso,2016,575573.1634,4895627.0639,623.74,POINT (575573.1634 4895627.0639)
80,875635,16ODL377789,45A01A01,Perdita acqua dalla rete,TRESANA,TRESANA,VIA PROVINCIALE 20,,TRESANA,FERRO,222.0,0.0,CLOSE,iso,2016,574980.4838,4897871.425,475.95,POINT (574980.4838 4897871.425)
96,1178504,17ODL351838,02A05A03,n 2 perdite adduttrice via nuova caprigliola aulla,aulla,CAPRIGLIOLA,nuova,0,AULLA,FERRO,110.0,0.0,CLOSE,iso,2017,574647.1431,4891624.7693,697.81,POINT (574647.1431 4891624.7693)
107,459585,15ODL131462,19A17A60,Perdita acqua dalla rete,FIVIZZANO,PIANDIMOLINO,VIA PROVINCIALE - PIANDIMOLINO 56,56,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2015,589052.0565,4892297.2977,198.16,POINT (589052.0565 4892297.2977)
109,463965,15ODL135987,10A04A01,PERDITA STRADALE,CARRARA,FOSSONE,ROCATAGLIATA PRESSO SERBATOIO,000,CARRARA,ACCIAIO,90.0,6.0,CLOSE,iso,2015,584749.8069,4880168.0948,1143.88,POINT (584749.8069 4880168.0948)
112,500555,15ODL171802,25A01A10,perdita idrica,Licciana N,MONTI,Ca di Mornello,0,LICCIANA NARDI,ACCIAIO,100.0,0.0,CLOSE,iso,2015,580688.6053,4900310.355,256.11,POINT (580688.6053 4900310.355)
114,504605,15ODL175844,19A17A60,Mancata fornitura idrica,FIVIZZANO,PIANDIMOLINO,LOC SICCIALA 2,2,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2015,589116.7325,4891721.5886,234.67,POINT (589116.7325 4891721.5886)
115,504757,15ODL176013,25A01A06,perdita dalla rete,licciana,TRITTA,massese 74,0,LICCIANA NARDI,ACCIAIO,110.0,0.0,CLOSE,iso,2015,582096.5592,4901033.4408,256.11,POINT (582096.5592 4901033.4408)
119,522430,15ODL194499,25A01A05,Perdita acqua dalla rete,LICCIANA NARDI,LICCIANA NARDI,VIA PROVINCIALE 1,,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,581917.0087,4901027.2672,256.11,POINT (581917.0087 4901027.2672)
121,531067,15ODL203574,25A01A06,perdita dalla rete,LICCIANA NARDI,PANIGALE,CORSO AREONAUTICA,0,LICCIANA NARDI,FERRO,110.0,0.0,CLOSE,iso,2015,582768.4572,4901891.2374,256.11,POINT (582768.4572 4901891.2374)
126,553841,15ODL227286,25A01A05,riparazione perdita,LICCIANA NARDI,LICCIANA NARDI,FRAZ TAVERNELLE 0,snc,LICCIANA NARDI,FERRO,114.0,0.0,CLOSE,iso,2015,587733.838,4906735.9388,227.38,POINT (587733.838 4906735.9388)
128,559117,15ODL232723,04A04A38,Perdita acqua dalla rete,BAGNONE,LOC PASTINA - BAGNONE,LOC PASTINA 0,,BAGNONE,FERRO,160.0,2.0,CLOSE,iso,2015,580613.9206,4907497.2617,427.0,POINT (580613.9206 4907497.2617)
129,562565,15ODL236205,25A01A06,Mancata fornitura idrica,LICCIANA NARDI,LICCIANA NARDI,Corso areonautica 42,,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,582496.6691,4901724.3893,512.23,POINT (582496.6691 4901724.3893)
131,574925,15ODL248847,19A17A60,Perdita acqua dalla rete,FIVIZZANO,PIANDIMOLINO,VIA XX SETTEMBRE - PIANDIMOLINO 56,56,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2015,589051.987,4892302.4255,208.27,POINT (589051.987 4892302.4255)
134,597841,15ODL272866,19A17A60,Perdita acqua dalla rete,FIVIZZANO,PIANDIMOLINO,VIA XX SETTEMBRE - PIANDIMOLINO 56,56,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2015,589039.1919,4892233.8685,208.27,POINT (589039.1919 4892233.8685)
139,418541,15ODL88880,51A01A01,Perdita rete idrica,bagnone,CORLAGA,ponte redivalle,www,VILLAFRANCA IN LUNIGIANA,ACCIAIO,100.0,0.0,CLOSE,iso,2015,579638.5362,4909588.2338,624.58,POINT (579638.5362 4909588.2338)
144,672538,16ODL164653,10A12A04,PERDITA VIA EMILIA 0 LOC. LINARA SENTIRE POLVERE A. 3470726308,CARRARA,LINARA,EMILIA,0,CARRARA,ACCIAIO,100.0,0.0,CLOSE,iso,2016,587467.1268,4882672.2152,575.62,POINT (587467.1268 4882672.2152)
145,1398336,18ODL208707,02A01A01,PERDITA su adduittrice briccola su strada ss 62 intervento del 13 04 2018,aulla,AULLA,nazionale,sdnc,AULLA,FERRO,272.0,0.0,CLOSE,iso,2018,577512.5909,4895336.0979,2156.65,POINT (577512.5909 4895336.0979)
153,1466024,18ODL279011,18A01A01,PERDITA STRADALE,filattiera,VICETO,viceto,,FILATTIERA,FERRO,90.0,0.0,CLOSE,iso,2018,572619.4219,4912379.2969,521.0,POINT (572619.4219 4912379.2969)
158,1507224,18ODL320918,18A01A07,PERDITA STRADALE,filattiera,CAPRIO,uliveto,,FILATTIERA,FERRO,90.0,0.0,CLOSE,iso,2018,574957.4633,4911207.0104,587.03,POINT (574957.4633 4911207.0104)
160,1546429,18ODL361383,02A01A01,Perdita acqua dalla rete,AULLA,AULLA,Q.RE MATTEOTTI 0,,AULLA,FERRO,272.0,0.0,CLOSE,iso,2018,577470.901,4895111.6077,3051.23,POINT (577470.901 4895111.6077)
170,1820976,19ODL266613,38A01A03,assistenza scavo per ricerca perdita occulta,podenzana,PODENZANA,castello,,PODENZANA,FERRO,110.0,0.0,CLOSE,iso,2019,576021.5433,4895468.7576,1117.49,POINT (576021.5433 4895468.7576)
174,1863162,19ODL310954,18A01A01,perdita dalla rete,FILATTIERA,SPIAGGI,COMUNALE,,FILATTIERA,FERRO,90.0,2.0,CLOSE,iso,2019,572643.3062,4912181.6256,776.16,POINT (572643.3062 4912181.6256)
175,1875155,19ODL323421,02A01A01,perdita rete su adduttrice briccola,aulla,AULLA,piazza corbani,,AULLA,FERRO,272.0,0.0,CLOSE,iso,2019,577365.3845,4895269.3677,448.53,POINT (577365.3845 4895269.3677)
177,1892099,19ODL341057,02A05A03,Perdita acqua dalla rete albiano m aulla su aduttrice caprigliola,AULLA,ALBIANO MAGRA,VIA REPUBBLICA 3,3,AULLA,PEAD,110.0,0.0,CLOSE,iso,2019,573840.7816,4891610.112,476.4,POINT (573840.7816 4891610.112)
191,2217688,20ODL284663,45A01A01,perdita  su adduttrice canala  intervento eseguito il 24 06,tresana,CANALA,canala,,TRESANA,FERRO,222.0,0.0,CLOSE,iso,2020,575108.5543,4897814.0566,319.73,POINT (575108.5543 4897814.0566)
197,2374253,20ODL438853,02A01A01,perdita su adduttrice briccola,aulla,AULLA,q.re matteotti,,AULLA,FERRO,272.0,0.0,CLOSE,iso,2020,577498.6619,4895046.1643,447.27,POINT (577498.6619 4895046.1643)
203,2470229,21ODL160362,18A01A05,PERDITA STRADALE,FILATTIERA,LUSIGNANA,LUSIGNANA,,FILATTIERA,FERRO,110.0,0.0,CLOSE,iso,2021,577062.5205,4912437.5394,659.55,POINT (577062.5205 4912437.5394)
207,2498832,21ODL188350,38A01A02,Perdita acqua dalla rete  intervento eseguito il 20 03,PODENZANA,PODENZANA,VIA FIUME 0,,PODENZANA,PEAD,110.0,0.0,CLOSE,iso,2021,576813.143,4895225.2098,1110.67,POINT (576813.143 4895225.2098)
